Org Name,OrgCode,Num in Cohort,Percent Graduated,Percent Still in School,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,Percent Permanently Excluded
Springfield - The Springfield Renaissance School,2810205,109,87.2,2.8,0.9,2.8,6.4,0
Stoneham - Stoneham High,2840505,183,95.6,1.6,0,0.5,2.2,0
Stoughton - Stoughton High,2850505,233,89.7,5.2,0,0.9,3.9,0.4
Sturgis Charter Public (District) - Sturgis Charter Public School,4890505,185,94.6,3.8,0,0.5,1.1,0
Sutton - Sutton High School,2900510,94,95.7,3.2,0,0,1.1,0
Swampscott - Swampscott High,2910505,198,98.5,0.5,0,0,1,0
Swansea - Joseph Case High,2920505,148,98,0.7,0,0,1.4,0
Tantasqua - Tantasqua Regional Sr High,7700505,181,91.7,5.5,0,0.6,2.2,0
Tantasqua - Tantasqua Regional Vocational,7700605,83,90.4,4.8,0,1.2,3.6,0
Taunton - Taunton High,2930505,410,87.3,2.7,2.2,0.5,7.3,0
Tewksbury - Tewksbury Memorial High,2950505,213,93.9,2.3,0,0.5,3.3,0
Tri County Regional Vocational Technical - Tri County Regional Vocational Technical,8780605,234,96.6,1.3,0,0.4,1.7,0
Triton - Triton Regional High School,7730505,201,86.6,4,0,2.5,6.5,0.5
Tyngsborough - Tyngsborough High School,3010505,126,93.7,2.4,0,0.8,3.2,0
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,8790605,157,96.8,0,0,0.6,1.9,0.6
Uxbridge - Uxbridge High,3040505,113,86.7,8,0,1.8,3.5,0
Wachusett - Wachusett Regional High,7750505,485,94,2.7,0.2,1.2,1.4,0.4
Wakefield - Wakefield Memorial High,3050505,218,94,1.8,0,3.2,0.9,0
Walpole - Walpole High,3070505,283,95.8,2.1,0,0,2.1,0
Waltham - Waltham Sr High,3080505,360,85,3.6,3.1,0.6,7.8,0
Ware - Ware Junior/Senior High School,3090505,86,72.1,16.3,0,4.7,7,0
Wareham - Wareham Cooperative Junior/Senior High School,3100315,66,48.5,22.7,3,1.5,24.2,0
Wareham - Wareham Senior High,3100505,153,85.6,5.9,0,1.3,7.2,0
Watertown - Watertown High,3140505,185,89.2,3.8,1.6,0.5,4.3,0.5
Wayland - Wayland High School,3150505,198,99.5,0.5,0,0,0,0
Webster - Bartlett Jr Sr High School,3160505,134,67.9,10.4,3,3,14.9,0.7
Wellesley - Wellesley Sr High,3170505,362,98.1,1.4,0.3,0,0,0.3
West Boylston - West Boylston Junior/Senior High,3220505,71,91.5,2.8,0,0,5.6,0
West Bridgewater - West Bridgewater Junior/Senior,3230505,103,99,1,0,0,0,0
West Springfield - West Springfield High,3320505,289,82,6.9,1.7,2.1,6.9,0.3
Westborough - Westborough High,3210505,273,97.1,1.5,0,1.1,0.4,0
Westfield - Westfield High,3250505,412,84.7,5.6,2.2,1.9,5.6,0
Westfield - Westfield Vocational Technical High,3250605,119,90.8,3.4,2.5,0.8,2.5,0
Westford - Westford Academy,3260505,405,99,0.7,0,0,0.2,0
Weston - Weston High,3300505,209,100,0,0,0,0,0
Westport - Westport High,3310505,116,92.2,4.3,0,0.9,2.6,0
Westwood - Westwood High,3350505,211,99.5,0.5,0,0,0,0
Weymouth - Weymouth High School,3360505,508,88.8,5.3,0.2,0.8,4.7,0.2
Whitman-Hanson - Whitman Hanson Regional,7800505,323,94.1,1.5,1.5,1.5,1.2,0
Whittier Regional Vocational Technical - Whittier Regional Vocational,8850605,300,98.7,0.3,0,0.3,0.7,0
Wilmington - Wilmington High,3420505,220,94.5,2.7,0.5,0,2.3,0
Winchester - Winchester High School,3440505,265,99.2,0.4,0,0,0.4,0
Winthrop - Winthrop Sr High,3460505,150,89.3,2,1.3,2.7,4.7,0
Woburn - Woburn High,3470505,332,85.8,3.3,1.8,1.8,7.2,0
Worcester - Burncoat Senior High,3480503,296,75,6.4,1.4,3.7,13.5,0
Worcester - Claremont Academy,3480350,63,90.5,3.2,0,1.6,4.8,0
Worcester - Doherty Memorial High,3480512,348,82.5,4.3,0.6,2.6,10.1,0
Worcester - North High,3480515,321,71,10.9,1.6,2.5,13.7,0.3
Worcester - South High Community,3480520,323,71.2,11.5,4.3,1.5,11.5,0
Worcester - University Pk Campus School,3480285,37,100,0,0,0,0,0
Worcester - Worcester Technical High,3480605,311,96.8,1.6,0.3,0.3,1,0
