2014-15 Teacher Salaries Report,,,,
,,,,
DISTRICT,ORGCODE,Salary Totals,Average Salary,FTE Count
Rowe,02530000,$522,863 ,$64,551 ,8
Salem,02580000,$30,744,906 ,$73,185 ,420
Sandwich,02610000,$16,957,424 ,$91,022 ,186
Saugus,02620000,$14,501,526 ,$69,552 ,209
Savoy,02630000,$213,838 ,$52,156 ,4
Scituate,02640000,$19,398,132 ,$78,313 ,248
Seekonk,02650000,$11,018,231 ,$75,935 ,145
Sharon,02660000,$20,421,703 ,$78,087 ,262
Sherborn,02690000,$3,057,173 ,$100,565 ,30
Shrewsbury,02710000,$29,976,467 ,$75,488 ,397
Shutesbury,02720000,$876,414 ,$58,041 ,15
Somerset,02730000,$8,566,773 ,$70,133 ,122
Somerville,02740000,$30,433,467 ,$71,541 ,425
Southampton,02750000,$2,389,874 ,$70,916 ,34
Southborough,02760000,$8,857,392 ,$80,230 ,110
Southbridge,02770000,$11,348,586 ,$68,572 ,166
South Hadley,02780000,$9,915,608 ,$69,927 ,142
Springfield,02810000,$130,432,206 ,$65,293 ,1,998
Stoneham,02840000,$12,438,219 ,$66,693 ,187
Stoughton,02850000,$22,480,956 ,$76,466 ,294
Sturbridge,02870000,$5,089,894 ,$72,921 ,70
Sudbury,02880000,$16,237,472 ,$76,991 ,211
Sunderland,02890000,$1,071,023 ,$75,424 ,14
Sutton,02900000,$7,141,611 ,$72,210 ,99
Swampscott,02910000,$14,090,337 ,$75,877 ,186
Swansea,02920000,$10,276,348 ,$62,775 ,164
Taunton,02930000,$38,245,292 ,$73,662 ,519
Tewksbury,02950000,$18,471,234 ,$73,944 ,250
Tisbury,02960000,$3,039,214 ,$81,262 ,37
Topsfield,02980000,$4,076,448 ,$84,050 ,49
Truro,03000000,$1,148,306 ,$72,678 ,16
Tyngsborough,03010000,$9,508,082 ,$71,705 ,133
Uxbridge,03040000,$8,890,566 ,$70,226 ,127
Wakefield,03050000,$17,495,437 ,$68,907 ,254
Wales,03060000,$740,295 ,$64,373 ,12
Walpole,03070000,$21,607,041 ,$74,124 ,292
Waltham,03080000,$36,422,449 ,$75,383 ,483
Ware,03090000,$5,440,456 ,$61,266 ,89
Wareham,03100000,$13,858,037 ,$68,502 ,202
Watertown,03140000,$18,114,540 ,$76,887 ,236
Wayland,03150000,$18,474,377 ,$89,900 ,206
Webster,03160000,$9,460,992 ,$71,242 ,133
Wellesley,03170000,$34,204,649 ,$90,041 ,380
Wellfleet,03180000,$1,199,765 ,$80,134 ,15
Westborough,03210000,$21,578,374 ,$78,661 ,274
West Boylston,03220000,$5,592,907 ,$70,796 ,79
West Bridgewater,03230000,$6,039,286 ,$66,220 ,91
Westfield,03250000,$29,473,572 ,$67,184 ,439
Westford,03260000,$27,457,555 ,$76,165 ,361
Westhampton,03270000,$746,878 ,$62,763 ,12
Weston,03300000,$18,480,494 ,$93,953 ,197
Westport,03310000,$8,106,319 ,$74,575 ,109
West Springfield,03320000,$19,858,513 ,$67,340 ,295
Westwood,03350000,$19,994,957 ,$86,074 ,232
Weymouth,03360000,$33,277,110 ,$79,935 ,416
Whately,03370000,$623,618 ,$87,834 ,7
Williamsburg,03400000,$1,077,884 ,$65,326 ,17
Williamstown,03410000,$2,596,834 ,$70,952 ,37
Wilmington,03420000,$19,466,899 ,$71,281 ,273
Winchendon,03430000,$7,721,372 ,$76,449 ,101
Winchester,03440000,$24,712,152 ,$74,033 ,334
Winthrop,03460000,$9,002,723 ,$59,424 ,152
Woburn,03470000,$26,650,981 ,$73,237 ,364
Worcester,03480000,$143,116,198 ,$78,256 ,1,829
Wrentham,03500000,$5,495,086 ,$70,996 ,77
Northampton-Smith Vocational Agricultural,04060000,$2,866,382 ,$60,728 ,47
